"Method","Rank","Noise_SD","Coherence","Mean_RMSE","SD_RMSE","N_rep"
"CP-ALS",15,0.5,0.5,0.03085,0.039795,20
"Orth-ALS",15,0.5,0.5,0.594539,0.000248,20
"ICO",15,0.5,0.5,0.009954,0.002426,20
"MSPM",15,0.5,0.5,0.797552,0.05127,20
"RGD",15,0.5,0.9,0.029521,0.00293,20
"RGN",15,0.5,0.9,0.026672,0.001799,20
"CP-ALS",15,0.5,0.9,0.018718,0.001926,20
"Orth-ALS",15,0.5,0.9,0.370053,0.003078,20
"ICO",15,0.5,0.9,0.048576,0.006864,20
"MSPM",15,0.5,0.9,0.718333,0.027796,20
"RGD",15,1,0,0.012455,0.000156,20
"RGN",15,1,0,0.012455,0.000156,20
"CP-ALS",15,1,0,0.012347,0.000154,20
"Orth-ALS",15,1,0,0.012344,0.000154,20
"ICO",15,1,0,0.012344,0.000154,20
"MSPM",15,1,0,0.829308,0.043902,20
"RGD",15,1,0.2,0.012426,0.000156,20
"RGN",15,1,0.2,0.012425,0.000155,20
"CP-ALS",15,1,0.2,0.012294,0.000153,20
"Orth-ALS",15,1,0.2,0.098634,0.000394,20
"ICO",15,1,0.2,0.013273,0.000174,20
"MSPM",15,1,0.2,0.797642,0.058136,20
"RGD",15,1,0.5,0.154035,0.074595,20
"RGN",15,1,0.5,0.030104,0.012681,20
"CP-ALS",15,1,0.5,0.017193,0.005516,20
"Orth-ALS",15,1,0.5,0.59443,0.000649,20
"ICO",15,1,0.5,0.022197,0.003421,20
"MSPM",15,1,0.5,0.760262,0.059288,20
"RGD",15,1,0.9,0.029195,0.001552,20
"RGN",15,1,0.9,0.028387,0.002136,20
"CP-ALS",15,1,0.9,0.021333,0.002622,20
"Orth-ALS",15,1,0.9,0.372367,0.004542,20
"ICO",15,1,0.9,0.077808,0.009656,20
"MSPM",15,1,0.9,0.679803,0.033052,20
